64, 1.129794e+10
64, 1.504837e+10
64, 1.050035e+10
128, 2.877119e+10
128, 2.789574e+10
128, 2.801184e+10
256, 4.750988e+10
256, 4.896263e+10
256, 3.725093e+10
512, 8.087039e+10
512, 6.383998e+10
512, 7.800867e+10
1024, 1.097894e+11
1024, 1.057396e+11
1024, 1.113029e+11
2048, 1.494114e+11
2048, 1.570932e+11
2048, 1.681300e+11
4096, 1.988487e+11
4096, 1.805223e+11
4096, 1.879445e+11
8192, 2.326889e+11
8192, 2.456627e+11
8192, 2.326243e+11
16384, 2.564616e+11
16384, 2.655606e+11
16384, 2.641828e+11
32768, 2.816951e+11
32768, 2.928211e+11
32768, 2.852792e+11
65536, 2.943652e+11
65536, 2.955040e+11
65536, 2.972112e+11
131072, 3.006886e+11
131072, 2.998443e+11
131072, 3.006624e+11
262144, 3.045249e+11
262144, 3.819008e+11
262144, 3.836619e+11
524288, 3.688408e+11
524288, 3.547758e+11
524288, 2.204348e+11
1048576, 1.869288e+11
1048576, 2.019768e+11
1048576, 2.106351e+11
2097152, 2.098034e+11
2097152, 2.125207e+11
2097152, 2.162204e+11
4194304, 2.011224e+11
4194304, 4194304, 8388608, 8388608, 8388608, 16777216, 16777216, 16777216, 
