64, 1.353691e+09
64, 1.574182e+09
64, 2.404108e+09
128, 3.906893e+09
128, 2.025255e+09
128, 4.283949e+09
256, 6.883304e+09
256, 7.358154e+09
256, 5.706127e+09
512, 9.115466e+09
512, 1.340485e+10
512, 1.330294e+10
1024, 2.079398e+10
1024, 2.575487e+10
1024, 2.423962e+10
2048, 3.976579e+10
2048, 4.798329e+10
2048, 8.327724e+10
4096, 8.198932e+10
4096, 1.540687e+11
4096, 1.021955e+11
8192, 2.720257e+11
8192, 3.361438e+11
8192, 3.200972e+11
16384, 5.759820e+11
16384, 7.914623e+11
16384, 5.126962e+11
32768, 9.273157e+11
32768, 6.764703e+11
32768, 8.189631e+11
65536, 1.061823e+12
65536, 9.364902e+11
65536, 9.194572e+11
131072, 1.100271e+12
131072, 1.095153e+12
131072, 1.014633e+12
262144, 1.217239e+12
262144, 1.395603e+12
262144, 9.481165e+11
524288, 1.355551e+12
524288, 1.560196e+12
524288, 1.273976e+12
1048576, 1.954078e+12
1048576, 1.808006e+12
1048576, 1.664828e+12
2097152, 2.100551e+12
2097152, 2.097343e+12
2097152, 1.918657e+12
4194304, 2.371233e+12
4194304, 2.327835e+12
4194304, 2.342399e+12
8388608, 2.376564e+12
8388608, 2.346318e+12
8388608, 2.345904e+12
16777216, 2.368486e+12
16777216, 2.378064e+12
16777216, 2.372592e+12
33554432, 2.359301e+12
33554432, 2.361112e+12
33554432, 2.384110e+12
67108864, 2.382783e+12
67108864, 2.365425e+12
67108864, 2.373972e+12
134217728, 2.375021e+12
134217728, 2.378316e+12
134217728, 2.374278e+12
