64, 2.080500e-01, 1.904773e+09
64, 1.211228e-01, 3.271786e+09
64, 1.308861e-01, 3.027732e+09
128, 1.122849e-01, 7.031257e+09
128, 1.377590e-01, 5.731053e+09
128, 1.576362e-01, 5.008394e+09
256, 1.715200e-01, 9.188060e+09
256, 1.353850e-01, 1.164040e+10
256, 1.600461e-01, 9.846763e+09
512, 1.038699e-01, 3.031484e+10
512, 1.363900e-01, 2.308674e+10
512, 1.025941e-01, 3.069181e+10
1024, 2.326601e-01, 2.705461e+10
1024, 2.289591e-01, 2.749193e+10
1024, 2.021189e-01, 3.114270e+10
2048, 1.874449e-01, 6.714497e+10
2048, 2.536399e-01, 4.962146e+10
2048, 2.629828e-01, 4.785857e+10
4096, 2.585599e-01, 9.734260e+10
4096, 2.978299e-01, 8.450763e+10
4096, 3.796878e-01, 6.628840e+10
8192, 4.731050e-01, 1.063923e+11
8192, 2.455781e-01, 2.049642e+11
8192, 3.437328e-01, 1.464356e+11
16384, 2.205741e-01, 4.563834e+11
16384, 4.007921e-01, 2.511685e+11
16384, 3.094871e-01, 3.252684e+11
32768, 2.174981e-01, 9.256619e+11
32768, 2.599342e-01, 7.745409e+11
32768, 2.217371e-01, 9.079654e+11
65536, 3.255761e-01, 1.236750e+12
65536, 2.632580e-01, 1.529512e+12
65536, 2.753232e-01, 1.462486e+12
131072, 4.173481e-01, 1.929587e+12
131072, 4.040360e-01, 1.993162e+12
131072, 4.271171e-01, 1.885453e+12
262144, 7.928460e-01, 2.031436e+12
262144, 7.871718e-01, 2.046079e+12
262144, 7.147641e-01, 2.253353e+12
524288, 1.441957e+00, 2.233928e+12
524288, 1.477682e+00, 2.179920e+12
524288, 1.434930e+00, 2.244868e+12
1048576, 2.774839e+00, 2.321740e+12
1048576, 2.784311e+00, 2.313842e+12
1048576, 2.802379e+00, 2.298923e+12
2097152, 5.534480e+00, 2.328115e+12
2097152, 5.499651e+00, 2.342859e+12
2097152, 5.489150e+00, 2.347341e+12
4194304, 1.162752e+01, 2.216278e+12
4194304, 1.151273e+01, 2.238375e+12
4194304, 1.103163e+01, 2.335992e+12
8388608, 2.272565e+01, 2.267904e+12
8388608, 2.179949e+01, 2.364258e+12
8388608, 2.209303e+01, 2.332844e+12
16777216, 4.439632e+01, 2.321796e+12
16777216, 4.457527e+01, 2.312476e+12
16777216, 4.501633e+01, 2.289818e+12
33554432, 8.716366e+01, 2.365188e+12
33554432, 8.737077e+01, 2.359581e+12
33554432, 8.755480e+01, 2.354622e+12
67108864, 1.734488e+02, 2.377168e+12
67108864, 1.758974e+02, 2.344076e+12
67108864, 1.736348e+02, 2.374622e+12
134217728, 3.482017e+02, 2.368264e+12
134217728, 3.462750e+02, 2.381442e+12
134217728, 3.481643e+02, 2.368519e+12
